Date,10year,5year,1year
09/07/2015,8.43,8.03,6.96
10/07/2015,8.39,8.14,6.97
13/07/2015,8.29,8.07,6.99
14/07/2015,8.29,8.08,6.86
15/07/2015,8.3,8.06,6.84
18/07/2015,8.3,8.06,6.84
21/07/2015,8.33,8.11,7.05
22/07/2015,8.3,8.05,6.83
23/07/2015,8.27,7.99,6.91
24/07/2015,8.28,7.94,7.15
27/07/2015,8.3,7.94,7.18
28/07/2015,8.36,7.93,7.21
29/07/2015,8.65,8.18,7.44
30/07/2015,8.64,8.18,7.34
31/07/2015,8.6,8.12,7.4
03/08/2015,8.62,8.17,7.66
04/08/2015,8.63,8.21,7.96
05/08/2015,8.51,8.11,7.8
06/08/2015,8.49,8.11,7.82
07/08/2015,8.46,8.17,7.8
10/08/2015,8.46,8.19,7.8
11/08/2015,8.49,8.19,7.8
12/08/2015,8.62,8.19,7.8
13/08/2015,8.71,8.22,7.76
14/08/2015,8.69,8.3,7.86
17/08/2015,8.69,8.3,7.86
18/08/2015,8.71,8.35,7.65
19/08/2015,8.6,8.36,7.63
20/08/2015,8.66,8.46,7.63
21/08/2015,8.88,8.54,7.74
24/08/2015,9.01,8.65,7.55
25/08/2015,8.98,8.74,7.83
26/08/2015,8.93,8.73,8.13
27/08/2015,8.82,8.53,7.79
28/08/2015,8.75,8.51,7.81
31/08/2015,8.79,8.59,7.66
01/09/2015,8.78,8.61,7.72
02/09/2015,8.81,8.52,7.59
03/09/2015,8.88,8.57,7.57
04/09/2015,8.93,8.66,7.78
07/09/2015,9.05,8.7,7.74
08/09/2015,9.19,8.76,7.88
09/09/2015,9.13,8.76,7.88
10/09/2015,9.14,8.77,8.08
11/09/2015,9.25,8.9,8.21
14/09/2015,9.3,8.94,8.1
15/09/2015,9.41,9.03,8.21
16/09/2015,9.5,9.16,8.24
17/09/2015,9.35,9.1,8.02
18/09/2015,9.11,8.89,8.18
21/09/2015,9.06,8.94,7.94
22/09/2015,9.11,9.02,8.06
23/09/2015,9.22,9.15,8.06
25/09/2015,9.51,9.32,8.03
27/09/2015,9.51,9.37,8.03
28/09/2015,9.59,9.42,8.21
29/09/2015,9.77,9.66,8.5
30/09/2015,9.62,9.59,8.82
01/10/2015,9.42,9.36,8.89
02/10/2015,9.37,9.26,8.82
